FoodID,FoodName,Alcohol,Carbohydrates,Calcium,Cholesterol,Calories,Kilojules,Fattotal,Glucose,Iron,Lactose,Magnesium,Potassium,Selenium,Sodium,Starchtotal,Sugarstotal,Water,Zinc
A1119,"Crumpet, white, as purchased, commercial",0,31.58,71.0,0,158.82,673.84,0.9,0,0.6,0,21,134,6,760,30.08,1.5,51.4,0.43
A1120,"Crumpet, white, toasted, commercial",0,34.25,77.0,0,172.44,731.64,1,0,0.65,0,22.77,145.32,6.51,824.18,32.62,1.63,47.3,0.47
A1121,"Bagels, white, plain, as purchased, commercial",0,46.18,34.0,0,235.93,1000.59,1.7,1.1,0.8,0,27,135,9,470,40.98,5.2,33.9,0.62
A1122,"Bagels, white, plain, toasted, commercial",0,49.74,36.62,0,254.13,1077.75,1.83,1.18,0.86,0,29.08,145.41,9.69,506.25,44.14,5.6,28.8,0.67
A1123,"Bread, chapatti or roti, wholemeal, ready to eat, restaurant",0,42.26,24.0,0,246.25,1040.46,4.9,0.6,2.4,0,68,250,10,320,39.16,3.1,34.3,1.25
A1124,"Bread, naan, white, plain, ready to eat, restaurant",0,44.07,220.0,5.9,252.48,1066.42,5.3,0,1.1,0.6,27,142,7,580,40.07,4.0,34.5,0.5
A1125,"Bread roll or bun, white, plain, ready to eat, commercial, fortified folate",0,45.26,48.0,0,237.56,1007.01,2.1,0,0.9,0,30,157,9,540,42.16,3.1,33.4,0.74
A1126,"Bread roll or bun, wholemeal, ready to eat, commercial, fortified folate",0,37.61,41.0,0,214.65,909.01,2.6,0,1.9,0,69,250,8,550,34.81,2.8,36.4,1.5
A113,"Muffin, fruit, toasted",0,49.7,115.0,0,254.9,1081.09,1.8,0.4,2.2,1.7,24,220,28,130,47.0,2.7,36.8,0.9
A1133,"Scone, white, with dates, ready to eat, commercial",0,47.5,93.0,4.5,261.4,1104.97,4.8,5.2,0.91,0.9,29.29,250,3.03,610,33.3,14.2,30.75,0.99
A1134,"Scone, white, plain, ready to eat, commercial",0,45.56,46.0,0,263.37,1112.82,5.2,0,0.9,0.9,29.08,137,3.01,850,40.86,4.7,30.7,0.98
A1135,"Scone, white, with cheese, ready to eat, commercial",0,34.57,220.0,21,283.91,1192.37,11.4,0,0.87,0.8,28.03,125,2.9,740,30.97,3.6,33.2,0.95
A1136,"Cake, chocolate, iced, ready to eat, commercial, composite",0,45.7,48.0,14,372.95,1561.3,19,0.9,2.7,0.9,46,370,4,280,11.6,34.1,23.5,0.76
A1138,"Bread, ciabatta, Italian style, loaf, from white wheat flour, plain, as purchased, commercial, composite",0,43.8,18.1,0,237.51,1005.52,3.1,0,0.8,0,25,125,6,480,40.3,3.5,38.1,0.67
A1139,"Bread, ciabatta, Italian style, loaf, white wheat flour, plain, toasted, commercial, composite",0,50.35,20.81,0,273.01,1155.82,3.56,0,0.92,0,28.74,143.68,6.9,551.75,46.32,4.02,29.3,0.77
A1140,"Bread, French, stick or loaf, from white wheat flour, plain, as purchased, commercial, composite",0,49.4,28.0,0,257.65,1092.4,2.1,0,1.0,0,31,154,7,580,46.3,3.1,28.6,0.89
A1141,"Bread, French, stick or loaf, white wheat flour, plain, toasted, commercial, composite",0,63.48,35.98,0,331.1,1403.8,2.7,0,1.29,0,39.84,197.9,9,745.33,59.5,3.98,8.2,1.14
A1142,"Doughnut, cinnamon & sugar dusted, unfilled, ring shaped, ready to eat, commercial, composite",0,51.1,39.0,19,392.71,1645.76,18.6,0.7,1.0,0.9,19.6,135,4.6,510,26.9,24.2,21.4,0.45
A1143,"Doughnut, chocolate iced, unfilled, ring shaped, ready to eat, commercial, composite",0,43.9,48.0,2.7,393.87,1647.21,21.4,1.5,1.7,0.7,26,155,8,430,25.6,18.3,19.9,0.65
A1144,"Doughnut, non-chocolate iced, unfilled, ring shaped, ready to eat, commercial, composite",0,49.8,48.0,2.7,390.93,1637.94,18.8,2.3,1.7,0.8,26,155,8,430,25.6,24.2,18.2,0.65
A1145,"Doughnut, cream & jam filled, assorted flavours, ready to eat, commercial, composite",0,31.1,75.0,25,319.23,1332.37,19.5,1.7,0.0,1.1,16.8,118,4,250,19.4,11.7,38.1,0.51
A1146,"Bread, pizza base, thin, from white flour, no topping, as purchased, commercial, composite",0,49.8,33.0,0,260.51,1103.18,3.2,0.2,0.8,0,30,148,7.5,420,45.8,4.0,33.9,0.67
A1147,"Bread, pizza base, thick, from white flour, no topping, as purchased, commercial, composite",0,45.6,33.0,0,252.44,1067.87,4,0.2,0.8,0,30,148,7.5,420,41.6,4.0,34.4,0.67
A1148,"Cake, sponge, plain, unfilled, uniced,  ready to eat, commercial, composite",0,56.2,42.0,86,289.26,1224.0,4.3,0.1,0.6,0.4,13.9,101,10,310,22.5,33.7,30.1,0.52
A1152,"Cake, assorted fruits, rich or dark, uniced, ready to eat, commercial, composite",0,50.44,46.0,6.5,292.04,1230.89,8.23,13.2,1.0,0.4,22,430,5,260,10.94,39.5,21.6,0.38
A1153,"Cake, assorted fruits, light, uniced, ready to eat, commercial, composite",0,50.7,50.0,5.6,327.78,1378.05,12.02,9.9,1.0,0.5,17.6,320,5,330,14.3,36.4,20.7,0.37
A1154,"Cake, carrot, with icing, ready to eat, commercial, composite",0,46.9,52.0,39,410.37,1714.96,23.3,0.5,0.7,0.3,23,136,3,370,9.9,37.0,21.1,0.53
A119,"Cracker, wheat, ready to eat, Meal Mates, Griffin's",0,49.85,57.0,52.9,463.19,1936.38,25.74,0,1.4,0,62,180,9,760,48.8,1.05,1.75,1.3
A12,"Biscuit, wafer, raspberry, cream filled, ready to eat, composite",0,70.95,20.0,1.54,494.39,2073.76,21.93,0,0.47,0,15,73,11,110,32.55,38.4,2.26,0.23
A127,"Muffin, blueberry",0,45.89,30.0,6,362.2,1516.87,18,1.4,0.82,0.6,12,84,7.73,240,18.54,27.3,28.1,0.49
A128,"Muffin, chocolate",0,53.06,27.0,41,413.39,1731.9,20,0.35,1.2,0.6,23,125,7.73,220,19.36,33.75,17.05,0.61
A129,"Muffin, bran",0,40.62,130.0,36.9,259.16,1091.37,8.05,0.8,5.0,0.4,81,230,7.73,730,17.87,22.75,32.7,1.7
A130,"Bun, iced",0,63.18,34.0,4,337.36,1424.76,7.2,8.1,1.6,0.1,22,120,0,200,28.83,34.35,27.35,0.81
A131,"Bun, spiced",0,49.12,78.0,2,242.17,1027.79,1.15,4.6,3.8,0.1,38,220,0,380,36.92,12.2,34.4,1.5
A133,"Cracker, wheat, assorted flavours, ready to eat, Arnott's",0,60.24,35.0,0,338.31,1429.51,6.65,0,1.9,0,26,300,0,580,60.24,0.0,2.8,1.7
A134,"Cracker, wheat, cheese flavoured, ready to eat, composite",0,57.97,27.0,14,479.28,2009.0,22.35,0,0.71,0.8,5.6,210,0,880,54.92,3.05,2.75,1.6
A135,"Cracker, wheat, sesame, ready to eat, composite",0,54.64,34.0,10,460.26,1927.92,22.55,0,0.94,0.7,11,195,0,885,51.89,2.75,2.45,1.5
A136,"Cracker, wheat, cream, ready to eat, composite",0,73.37,8.7,16,459.03,1933.44,13.95,0,0.0,0,1.6,150,0,540,72.72,0.65,3.15,1.0
A137,"Cracker, wheat, ready to eat, Snax, Griffin's",0,54.56,6.2,10,467.49,1956.21,24.5,0,0.0,0,1.3,110,0,750,52.23,2.33,3.6,0.55
A138,"Cracker, wheat, ready to eat, Salada, Arnott's",0,71.83,4.8,3,401.12,1694.51,8.2,0,0.0,0,1,180,0,880,71.83,0.0,3.7,1.3
A139,"Cracker, wheat, ready to eat, Supreme, Arnott's & Somerset, Huntley & Palmers",0,56.66,13.0,10,490.59,2053.38,25.3,0,0.0,0,2.1,140,0,730,54.41,2.25,2.4,0.86
A140,"Cracker, wheat, ready to eat, Water Cracker, Arnott's",0,73.65,25.0,3,399.4,1688.45,7.2,0,0.49,0,6.9,160,0,630,73.22,0.43,3.45,0.94
A141,"Cracker, rye & assorted flavours, ready to eat, Crispbread, Ryvita",0,67.37,42.0,0,328.43,1393.89,1.55,0,1.15,0,16.5,360,0,395,65.72,1.65,3.6,2.75
A146,"Biscuit, Arrowroot, composite",0,76.13,27.7,0,426.97,1801.53,10.49,0.65,0.0,0.38,21.8,138,0,277,51.85,24.28,2.69,0.58
A147,"Biscuit, iced, Hundreds & Thousands, Griffin's",0,71.07,64.0,3.79,485.92,2040.37,19.82,1.05,0.68,2.45,20,150,0,350,33.82,37.25,1.21,0.58
A148,"Biscuit, Afghan, composite",0,64.94,46.0,0,477.04,2000.36,21.66,1.25,1.9,2.15,37,170,0,260,31.39,33.55,2.6,0.82
